Attribution ID,Source,Dating,Dating (range),Source Origin,Modern Country for Source Origin,Source type,Piece,Attributed to Josquin?,NJE Number,Genre,Voices,Attribution Category,Probable Composer,Other Attribution in Source
Attr_1,WashLC L25,1471,~1463–71,Loire Valley?,France,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,
Attr_2,MunBS 3154,1476,~1476,Innsbruck/Augsburg?,Germany/Austria,manuscript,O Venus bant,no,27.29,songs and instrumental pieces,3,4a,,
Attr_3,FlorBN Magl. 176,1480,~1475–80,Florence,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,
Attr_4,ModE M.1.13,1481,~1480–81,Ferrara,Italy,manuscript,Missa Ferialis,no,4.1,mass,4,4b,Johannes Martini,Martini
Attr_5,ParisBNF 15123,1484,~1480–84,Florence,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_6,FlorR 2356,1485,~1480–85,Florence,Italy,manuscript,Helas madame,no,27.13,songs and instrumental pieces,3,3,,
Attr_7,FlorR 2356,1485,~1480–85,Florence,Italy,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,
Attr_8,MunBS 3154,1485,~1484–85,Innsbruck/Augsburg?,Germany/Austria,manuscript,Ave Maria,no,23.6,motet,4,1,,
Attr_10,BolC Q16,1487,,Naples/Rome,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,
Attr_9,BolC Q16,1487,~1487,Naples/Rome,Italy,manuscript,Je ne demande,yes,27.18,songs and instrumental pieces,3,4a,,
Attr_11,FlorR 2794,1488,~1486–88,Loire Valley,France,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_12,FlorR 2794,1488,~1486–88,Loire Valley,France,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,
Attr_13,FlorR 2794,1488,~1486–88,Loire Valley,France,manuscript,Entrée suis,yes,27.8,songs and instrumental pieces,3,1,,
Attr_14,FlorR 2794,1488,~1486–88,Loire Valley,France,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_15,MunBS 3154,1489,~1489,Innsbruck/Augsburg?,Germany/Austria,manuscript,Comment [Pleni of the Missa Comment peult],no,Jos9922,mass,3,4b,Heinrich Isaac,
Attr_16,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Ile fantazies de Joskin,yes,27.15,songs and instrumental pieces,3,1,,
Attr_17,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_18,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_19,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,"Lannoy; si placet bassus, Johannes Martini"
Attr_20,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Et trop penser,no,27.9,songs and instrumental pieces,3,4a,,Bosfrin
Attr_21,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,En l'ombre d'ung buissonnet,no,28.13,songs and instrumental pieces,4,3,,Bolkim
